niche_id,niche_name,target_demo,content_themes,offer_stack,applicable_methods,priority
N001,AI utilities,"Tech workers 25-40, productivity-focused, $80K+ income","Automation workflows | AI tool comparisons | Time-saving hacks | Productivity systems","Free: AI tool list → Mid: $47 workflow templates → High: $497 automation consulting","MM001,MM002,CF009,AI001",Phase1
N002,Faith streak,"Christians 18-35, spiritually curious, seeking consistency","Daily devotionals | Habit tracking | Biblical wisdom | Accountability systems","Free: 7-day challenge → Mid: $27/mo streak app → High: $197 faith accountability program","MM001,MM002,CF007,AI001",Phase1
N003,Fitness men,"Men 25-45, beginner-intermediate, physique goals","Home workouts | Nutrition basics | Progressive overload | Body recomposition","Free: Workout PDF → Mid: $37/mo app access → High: $297 12-week transformation program","MM001,MM002,AI005,CF007",Phase1
N004,Pet wellness,"Pet owners 25-55, dog/cat owners, health-conscious","Pet health tracking | Symptom checkers | Nutrition guides | Vet reminders","Free: Pet health checklist → Mid: $4.99/mo app → High: $97 premium care bundle","MM001,MM002,AI006",Phase2
N005,Senior tech,"Seniors 60+, adult children 35-55, tech simplification","Large UI apps | Family connection | SOS features | Memory games","Free: Tech guide → Mid: $6.99/mo app → High: Gift subscriptions from family","MM001,MM002,AI001",Phase2
N006,Neurodivergent ADHD,"ADHD adults 20-45, productivity struggles, $50K+ income","Now/Next/Later systems | Body doubling | Dopamine-friendly UX | Focus timers","Free: ADHD hack PDF → Mid: $7.99/mo app → High: $197 productivity course","MM001,MM002,AI001",Phase1
N007,Gen Z finance,"Gen Z 18-28, first jobs, loud budgeting trend","Vibe check spending | Side hustle tracking | Investing basics | Subscription tracking","Free: Budget template → Mid: $4.99/mo app → High: $97 money course","MM001,MM002,CF008,AI001",Phase2
N008,Couples relationship,"Couples 25-45, post-honeymoon phase, busy lives","Daily questions | Date night planning | Conflict resolution | Shared goals","Free: 7-day question challenge → Mid: $9.99/mo couple app → High: $197 couples course","MM001,MM002,AI008",Phase3
N009,Women wellness,"Women 25-45, health-conscious, cycle tracking","Cycle tracking | Skin care | Mental health | Hormone balance","Free: Wellness guide → Mid: $5.99/mo app → High: $147 wellness program","MM001,MM002,AI006,CF005",Phase2
N010,Students education,"Students 16-25, study optimization, test prep","Study timers | Flashcards | Note taking | Focus modes","Free: Study guide → Mid: $4.99/mo app → High: $97 course","MM001,MM002,CF009",Phase2
N011,Sleep optimization,"Sleep-deprived 25-55, insomnia, productivity seekers","Sleep tracking | Ambient sounds | Bedtime routines | Wake optimization","Free: Sleep checklist → Mid: $4.99/mo app → High: Mattress affiliates","MM001,CF001,CF002,AI004",Phase1
N012,Gaming esports,"Gamers 16-30, competitive, entertainment seekers","Game clips | Pro tips | Memes | Tournament coverage","Free: Gaming content → Mid: Creator fund → High: Sponsorships + merch","CF004,CF006,AI007,MM010,MM011",Phase2
N013,Crypto trading,"Crypto traders 25-45, active traders, risk-tolerant","Market analysis | Trading signals | DeFi guides | NFT coverage","Free: Crypto newsletter → Mid: $29/mo signals → High: $497 trading course","MM012,CF011,AI001,MM002",Phase2
N014,Stock investing,"Investors 30-55, long-term focus, wealth building","Stock analysis | Market news | Portfolio tips | Dividend strategies","Free: Stock watchlist → Mid: $19/mo newsletter → High: $297 investing course","MM012,CF012,AI001,MM002",Phase3
N015,Motivation self-improvement,"Self-improvers 20-40, goal-oriented, growth mindset","Daily quotes | Habit tracking | Goal setting | Mindset content","Free: Quote content → Mid: $27/mo accountability → High: $197 transformation course","CF007,AI001,MM002",Phase1
N016,Tech explainers,"Tech enthusiasts 25-45, early adopters, curious","AI explainers | Tool reviews | How-tos | Tech news","Free: Tech content → Mid: SaaS affiliates → High: Consulting","CF009,AI001,MM003,MM004",Phase2
N017,Sports betting,"Sports fans 21-45, bettors, entertainment","Game predictions | Stats analysis | Betting tips | Highlights","Free: Sports content → Mid: Betting affiliates → High: Premium picks","CF010,AI007",Phase3
N018,News current events,"News consumers 25-55, engaged citizens, share-prone","Breaking news | Analysis | Viral moments | Commentary","Free: News content → Mid: Newsletter → High: Traffic arbitrage","CF003,AI001",Phase2
N019,ASMR relaxation,"Relaxation seekers 18-45, stress relief, sleep aid","Trigger sounds | Roleplay | Visual ASMR | Sleep content","Free: ASMR content → Mid: Patreon → High: Custom content","AI004,CF001,CF002",Phase3
N020,Lifestyle aesthetic,"Aspirational 20-40, aesthetic-focused, travel lovers","Travel content | Lifestyle tips | Brand reviews | Day-in-life","Free: Lifestyle content → Mid: Brand deals → High: UGC services","AI006,CF005,MM008",Phase3
N021,Autism neurodivergent,"Autistic adults 18-45, seeking structure and sensory management","Visual schedules | Routine tracking | Sensory tools | Executive function aids | Social scripts","Free: Autism-friendly guide → Mid: $7.99/mo visual planner app → High: $197 life systems course","MM001,MM002,AI001,CF007",Phase1
N022,Menopause women,"Women 40-60, perimenopause/menopause, seeking symptom relief","Symptom tracking | Hot flash logs | Sleep optimization | Hormone insights | Nutrition","Free: Menopause symptom tracker → Mid: $6.99/mo app → High: $147 wellness program + supplements affiliate","MM001,MM002,AI006,MM003",Phase2
N023,Parent burnout,"Parents 30-50, overwhelmed, seeking mental load management","Task distribution | Mental load visualization | Self-care reminders | Partner communication | Guilt management","Free: Mental load audit → Mid: $8.99/mo family coordination app → High: $197 burnout recovery course","MM001,MM002,AI001,CF007",Phase2
N024,Solo travelers,"Solo travelers 25-45, digital nomads, combating loneliness","Trip planning | Safety tools | Local connection | Loneliness tracking | Budget management","Free: Solo travel safety guide → Mid: $5.99/mo travel companion app → High: Travel gear affiliates + $97 course","MM001,MM002,AI001,MM003",Phase3
N025,Caregiver support,"Family caregivers 35-65, caring for aging parents or disabled relatives","Care schedule coordination | Medication tracking | Respite reminders | Burnout prevention | Resource directory","Free: Caregiver checklist → Mid: $7.99/mo coordination app → High: $147 caregiver wellness program","MM001,MM002,AI001",Phase2
N026,Chronic pain,"Chronic pain sufferers 30-60, seeking symptom management and validation","Pain tracking | Trigger identification | Flare prediction | Doctor communication | Validation content","Free: Pain diary template → Mid: $6.99/mo symptom tracker → High: Pain management course + supplement affiliates","MM001,MM002,AI001,AI006",Phase3
N027,Introverts socializing,"Introverts 20-40, balancing social needs with energy management","Social battery tracking | Event planning | Recovery reminders | Small talk scripts | Boundary setting","Free: Introvert energy guide → Mid: $4.99/mo social planner app → High: $97 social skills course","MM001,MM002,AI001,CF007",Phase3
N028,Grief bereavement,"Bereaved adults 25-65, navigating loss and rebuilding","Grief journaling | Memory preservation | Milestone tracking | Support resources | Healing rituals","Free: Grief journal prompts → Mid: $5.99/mo memorial app → High: $147 grief recovery program","MM001,MM002,AI001,AI008",Phase3
N029,Career pivoters,"Professionals 28-45, mid-career transition, skill acquisition","Skill gap analysis | Learning tracking | Network building | Portfolio creation | Interview prep","Free: Career pivot roadmap → Mid: $9.99/mo career tracker → High: $297 career transition program","MM001,MM002,AI001,MM006",Phase2
N030,Microentrepreneurs,"Side hustlers 25-40, <$50K/yr side income, solopreneur operations","Revenue tracking | Time blocking | Customer management | Tax prep | Mindset content","Free: Side hustle tracker → Mid: $6.99/mo business dashboard → High: $197 micro-business course","MM001,MM002,AI001,CF007,MM006",Phase2
N031,Voice AI Service Businesses,"Local service businesses (med spas, property management, contractors) 30-60, high call volume, seeking automation","AI call handling | Appointment booking | Customer screening | Lead qualification | 24/7 availability","Free: Call volume audit → Mid: $500-$1,500/mo per location AI voice agent → High: Multi-location enterprise $5K+/mo","MM001,MM004,MM005,AI001",Phase1
N032,Faceless TikTok Shop Creators,"Content creators 18-35, camera-shy, e-commerce interested, seeking passive income","Faceless video creation | Product research | Affiliate marketing | Commission tracking | Automation workflows","Free: TikTok Shop guide → Mid: $97 faceless creator course → High: 10-30% commission on $23.4B TikTok Shop market","MM006,CF003,CF006,MM003,MM008",Phase1
N033,Vertical SaaS Clinic Owners,"Specialty clinic owners (dermatology, physiotherapy, dental) 35-60, $500K-$5M revenue, workflow pain","Clinic-specific EMR | Automated scheduling | Patient communication | Treatment tracking | Insurance integration","Free: Workflow audit → Mid: $500-$2K/mo per clinic SaaS → High: $50K-$500K MRR at scale with vertical focus","MM004,MM005,AI001,MM001",Phase2
N034,Gen Z Workplace Burnout,"Gen Z workers 18-24, 98% burnout symptoms, unmanageable stress, $25K-$60K income","Flexible work tracking | Mental health check-ins | Stress management | Burnout prevention | Therapy connection","Free: Burnout assessment → Mid: $6.99/mo wellness app (market $25.26B 2025 → $61.27B 2033) → High: $147 employer wellness program","MM001,MM002,AI001,CF007",Phase1
N035,Freelancer Late Payment,"Freelancers worldwide 50M+, 29-31% invoices paid late, 80% slow-paying clients","Payment reminders | Late fee automation | Client communication | Invoice tracking | Collection tools","Free: Invoice template → Mid: $29/mo invoicing SaaS → High: 10-20% collection service fee on recovered invoices","MM001,MM004,AI001",Phase1
N036,Senior Smart Home Setup,"Seniors 60+, 61% prefer aging at home, 10K Baby Boomers aging daily","Device setup | Home automation | Safety monitoring | Family connection | Tech support","Free: Smart home guide → Mid: $299 setup service → High: $99/mo monitoring + support (market $114.6B by 2026)","MM005,AI001,MM001",Phase1
N037,Field Service Route Optimization,"Field service SMBs, plumbers/HVAC/electricians, manual routing, wasting drive time","Route optimization | Job profitability | Drive time tracking | Customer scheduling | Multi-stop planning","Free: Route audit → Mid: $58/mo per user → High: Enterprise multi-depot $500+/mo (market $6.25B 2025 → $12.59B 2035)","MM004,AI001",Phase1
N038,SMB Compliance Management,"Small businesses 10-500 employees juggling GDPR/HIPAA/PCI-DSS in spreadsheets","Risk assessments | Policy management | Evidence collection | Audit prep | Security training","Free: Compliance checklist → Mid: $299-$999/mo automated compliance → High: Multi-framework enterprise pricing (HIPAA/GDPR/SOC2)","MM004,MM001,AI001",Phase2
